9.77E-08	2.13E-07	1.94E-07	1.75E-07	1.57E-07	1.44E-07	1.33E-07	1.21E-07	1.10E-07	1.02E-07	9.29E-08	8.91E-08	8.27E-08	7.62E-08	7.08E-08	6.83E-08	6.43E-08	6.28E-08	5.75E-08	5.25E-08	5.05E-08	4.86E-08	4.64E-08	4.50E-08	4.14E-08	3.87E-08	3.75E-08	3.32E-08	3.43E-08	3.22E-08	2.96E-08	2.83E-08	2.57E-08	2.64E-08	2.45E-08	2.26E-08	2.17E-08	1.96E-08	1.92E-08	1.78E-08	1.86E-08	1.89E-08	1.65E-08	1.66E-08	1.62E-08	1.47E-08	1.51E-08	1.45E-08	1.39E-08	1.24E-08
1.02E-07	2.43E-07	2.25E-07	2.08E-07	1.89E-07	1.70E-07	1.56E-07	1.45E-07	1.33E-07	1.21E-07	1.13E-07	1.06E-07	9.95E-08	9.27E-08	8.85E-08	8.62E-08	7.73E-08	7.32E-08	6.99E-08	6.33E-08	6.27E-08	5.94E-08	5.51E-08	5.24E-08	5.12E-08	4.89E-08	4.72E-08	4.48E-08	4.25E-08	3.72E-08	3.80E-08	3.46E-08	3.22E-08	3.34E-08	2.99E-08	3.04E-08	2.96E-08	2.64E-08	2.59E-08	2.52E-08	2.39E-08	2.23E-08	2.22E-08	2.16E-08	1.99E-08	2.03E-08	1.96E-08	1.79E-08	1.87E-08	1.66E-08
1.07E-07	2.82E-07	2.63E-07	2.32E-07	2.20E-07	2.03E-07	1.88E-07	1.78E-07	1.60E-07	1.54E-07	1.35E-07	1.27E-07	1.20E-07	1.14E-07	1.09E-07	1.07E-07	9.72E-08	9.25E-08	8.84E-08	8.13E-08	7.81E-08	7.29E-08	6.94E-08	6.72E-08	6.40E-08	5.99E-08	5.67E-08	5.37E-08	5.52E-08	5.04E-08	4.70E-08	4.31E-08	4.22E-08	4.09E-08	3.96E-08	3.70E-08	3.66E-08	3.47E-08	3.22E-08	3.20E-08	2.97E-08	2.89E-08	2.98E-08	2.84E-08	2.58E-08	2.63E-08	2.60E-08	2.35E-08	2.31E-08	2.17E-08
1.12E-07	3.24E-07	3.01E-07	2.79E-07	2.57E-07	2.42E-07	2.18E-07	2.12E-07	1.92E-07	1.83E-07	1.64E-07	1.54E-07	1.49E-07	1.40E-07	1.32E-07	1.25E-07	1.18E-07	1.13E-07	1.05E-07	1.01E-07	9.68E-08	9.16E-08	9.06E-08	8.15E-08	8.02E-08	7.51E-08	7.21E-08	6.67E-08	6.64E-08	6.27E-08	5.94E-08	5.33E-08	5.57E-08	5.11E-08	5.00E-08	4.81E-08	4.69E-08	4.48E-08	4.22E-08	4.03E-08	3.84E-08	3.78E-08	3.85E-08	3.62E-08	3.48E-08	3.39E-08	3.15E-08	3.08E-08	3.24E-08	2.98E-08
1.17E-07	3.70E-07	3.40E-07	3.14E-07	2.94E-07	2.79E-07	2.60E-07	2.37E-07	2.22E-07	2.15E-07	1.95E-07	1.88E-07	1.73E-07	1.64E-07	1.58E-07	1.45E-07	1.37E-07	1.29E-07	1.29E-07	1.23E-07	1.12E-07	1.09E-07	1.07E-07	1.03E-07	9.46E-08	8.98E-08	8.57E-08	8.56E-08	8.06E-08	7.80E-08	6.98E-08	6.76E-08	6.88E-08	6.35E-08	6.47E-08	6.32E-08	5.65E-08	5.45E-08	5.42E-08	5.16E-08	4.73E-08	4.70E-08	4.69E-08	4.53E-08	4.41E-08	4.16E-08	3.80E-08	4.04E-08	3.82E-08	3.60E-08
1.23E-07	4.15E-07	3.92E-07	3.72E-07	3.52E-07	3.30E-07	3.09E-07	2.87E-07	2.71E-07	2.59E-07	2.34E-07	2.19E-07	2.08E-07	1.97E-07	1.87E-07	1.80E-07	1.70E-07	1.66E-07	1.56E-07	1.41E-07	1.39E-07	1.39E-07	1.33E-07	1.26E-07	1.20E-07	1.13E-07	1.09E-07	1.03E-07	9.80E-08	9.75E-08	9.39E-08	8.75E-08	8.49E-08	7.87E-08	7.89E-08	7.64E-08	7.42E-08	6.98E-08	6.45E-08	6.31E-08	6.06E-08	6.32E-08	5.98E-08	6.00E-08	5.42E-08	5.48E-08	5.09E-08	5.25E-08	4.89E-08	4.93E-08
1.29E-07	4.73E-07	4.48E-07	4.17E-07	3.95E-07	3.83E-07	3.51E-07	3.28E-07	3.11E-07	2.97E-07	2.78E-07	2.60E-07	2.50E-07	2.34E-07	2.25E-07	2.16E-07	2.09E-07	1.91E-07	1.87E-07	1.78E-07	1.73E-07	1.67E-07	1.60E-07	1.52E-07	1.44E-07	1.37E-07	1.34E-07	1.28E-07	1.24E-07	1.18E-07	1.12E-07	1.12E-07	1.03E-07	1.01E-07	9.66E-08	9.45E-08	8.99E-08	8.66E-08	8.39E-08	8.25E-08	7.68E-08	7.89E-08	7.32E-08	7.37E-08	6.93E-08	6.76E-08	6.61E-08	6.09E-08	6.22E-08	5.97E-08
1.35E-07	5.20E-07	4.87E-07	4.73E-07	4.42E-07	4.26E-07	3.94E-07	3.80E-07	3.62E-07	3.46E-07	3.25E-07	3.11E-07	2.81E-07	2.77E-07	2.69E-07	2.49E-07	2.40E-07	2.33E-07	2.25E-07	2.18E-07	2.02E-07	2.00E-07	1.86E-07	1.82E-07	1.69E-07	1.70E-07	1.65E-07	1.54E-07	1.50E-07	1.43E-07	1.37E-07	1.33E-07	1.30E-07	1.25E-07	1.16E-07	1.13E-07	1.06E-07	1.04E-07	1.05E-07	9.63E-08	9.42E-08	9.62E-08	9.10E-08	8.88E-08	8.95E-08	8.24E-08	8.14E-08	7.69E-08	7.92E-08	7.22E-08
1.41E-07	5.61E-07	5.35E-07	5.21E-07	5.05E-07	4.74E-07	4.51E-07	4.33E-07	4.17E-07	3.98E-07	3.73E-07	3.54E-07	3.39E-07	3.16E-07	3.11E-07	2.97E-07	2.77E-07	2.69E-07	2.60E-07	2.44E-07	2.34E-07	2.34E-07	2.20E-07	2.09E-07	2.11E-07	1.94E-07	1.88E-07	1.74E-07	1.78E-07	1.73E-07	1.69E-07	1.56E-07	1.55E-07	1.45E-07	1.39E-07	1.46E-07	1.34E-07	1.31E-07	1.28E-07	1.22E-07	1.15E-07	1.16E-07	1.13E-07	1.12E-07	1.06E-07	1.05E-07	9.53E-08	1.01E-07	9.09E-08	9.11E-08
1.48E-07	6.27E-07	5.90E-07	5.77E-07	5.54E-07	5.25E-07	4.96E-07	4.81E-07	4.72E-07	4.45E-07	4.30E-07	4.04E-07	3.88E-07	3.76E-07	3.63E-07	3.39E-07	3.33E-07	3.15E-07	3.01E-07	2.90E-07	2.87E-07	2.71E-07	2.64E-07	2.56E-07	2.44E-07	2.38E-07	2.33E-07	2.23E-07	2.09E-07	2.04E-07	2.01E-07	1.94E-07	1.89E-07	1.80E-07	1.73E-07	1.68E-07	1.59E-07	1.60E-07	1.51E-07	1.46E-07	1.42E-07	1.42E-07	1.35E-07	1.34E-07	1.34E-07	1.27E-07	1.23E-07	1.20E-07	1.11E-07	1.12E-07
1.55E-07	6.72E-07	6.49E-07	6.30E-07	6.06E-07	5.84E-07	5.62E-07	5.34E-07	5.27E-07	4.94E-07	4.69E-07	4.53E-07	4.41E-07	4.29E-07	4.03E-07	3.94E-07	3.79E-07	3.77E-07	3.55E-07	3.39E-07	3.24E-07	3.15E-07	3.08E-07	2.97E-07	2.86E-07	2.82E-07	2.68E-07	2.55E-07	2.38E-07	2.40E-07	2.32E-07	2.34E-07	2.21E-07	2.13E-07	2.08E-07	2.06E-07	1.94E-07	1.90E-07	1.84E-07	1.79E-07	1.71E-07	1.70E-07	1.60E-07	1.60E-07	1.54E-07	1.47E-07	1.49E-07	1.43E-07	1.39E-07	1.38E-07
1.62E-07	7.08E-07	6.87E-07	6.95E-07	6.61E-07	6.46E-07	6.22E-07	5.85E-07	5.81E-07	5.67E-07	5.20E-07	5.18E-07	4.87E-07	4.70E-07	4.67E-07	4.40E-07	4.42E-07	4.31E-07	3.97E-07	3.86E-07	3.83E-07	3.57E-07	3.55E-07	3.40E-07	3.33E-07	3.16E-07	3.09E-07	2.96E-07	2.85E-07	2.84E-07	2.72E-07	2.72E-07	2.61E-07	2.56E-07	2.41E-07	2.33E-07	2.29E-07	2.26E-07	2.15E-07	2.09E-07	2.01E-07	2.02E-07	1.94E-07	1.93E-07	1.86E-07	1.84E-07	1.68E-07	1.66E-07	1.62E-07	1.66E-07
1.70E-07	7.28E-07	7.25E-07	7.08E-07	7.03E-07	6.79E-07	6.63E-07	6.49E-07	6.37E-07	6.06E-07	5.83E-07	5.65E-07	5.53E-07	5.38E-07	5.23E-07	4.98E-07	4.87E-07	4.72E-07	4.58E-07	4.41E-07	4.30E-07	4.13E-07	4.08E-07	3.88E-07	3.87E-07	3.69E-07	3.68E-07	3.60E-07	3.36E-07	3.21E-07	3.21E-07	3.16E-07	3.03E-07	3.01E-07	2.84E-07	2.78E-07	2.68E-07	2.65E-07	2.54E-07	2.55E-07	2.45E-07	2.33E-07	2.33E-07	2.27E-07	2.25E-07	2.12E-07	2.07E-07	2.02E-07	1.86E-07	1.85E-07
1.78E-07	7.62E-07	7.44E-07	7.46E-07	7.32E-07	7.34E-07	7.14E-07	6.91E-07	6.72E-07	6.51E-07	6.45E-07	6.29E-07	6.09E-07	5.93E-07	5.82E-07	5.65E-07	5.45E-07	5.34E-07	5.21E-07	4.91E-07	4.86E-07	4.67E-07	4.51E-07	4.47E-07	4.26E-07	4.20E-07	4.10E-07	4.19E-07	3.82E-07	3.81E-07	3.69E-07	3.71E-07	3.51E-07	3.38E-07	3.26E-07	3.20E-07	3.20E-07	3.04E-07	2.93E-07	2.93E-07	2.90E-07	2.72E-07	2.70E-07	2.60E-07	2.55E-07	2.46E-07	2.49E-07	2.30E-07	2.32E-07	2.28E-07
1.86E-07	7.64E-07	7.61E-07	7.64E-07	7.53E-07	7.65E-07	7.44E-07	7.34E-07	7.11E-07	7.22E-07	6.90E-07	6.81E-07	6.72E-07	6.33E-07	6.37E-07	6.16E-07	6.05E-07	5.90E-07	5.64E-07	5.48E-07	5.45E-07	5.08E-07	5.02E-07	4.97E-07	4.82E-07	4.75E-07	4.53E-07	4.56E-07	4.45E-07	4.47E-07	4.07E-07	4.13E-07	4.00E-07	3.97E-07	3.70E-07	3.68E-07	3.66E-07	3.60E-07	3.49E-07	3.32E-07	3.31E-07	3.19E-07	3.17E-07	3.01E-07	3.00E-07	2.84E-07	2.81E-07	2.65E-07	2.69E-07	2.77E-07
1.95E-07	7.56E-07	7.55E-07	7.80E-07	7.86E-07	7.62E-07	7.72E-07	7.88E-07	7.50E-07	7.39E-07	7.25E-07	7.07E-07	7.08E-07	6.67E-07	6.73E-07	6.36E-07	6.37E-07	6.41E-07	6.22E-07	5.96E-07	5.65E-07	5.68E-07	5.50E-07	5.49E-07	5.24E-07	5.42E-07	5.21E-07	4.99E-07	4.84E-07	4.84E-07	4.55E-07	4.56E-07	4.45E-07	4.34E-07	4.38E-07	4.30E-07	4.19E-07	3.95E-07	3.93E-07	3.80E-07	3.84E-07	3.68E-07	3.54E-07	3.57E-07	3.38E-07	3.39E-07	3.31E-07	3.21E-07	3.12E-07	3.09E-07
2.04E-07	7.38E-07	7.56E-07	7.69E-07	7.74E-07	7.80E-07	7.85E-07	7.69E-07	7.87E-07	7.65E-07	7.59E-07	7.38E-07	7.45E-07	7.21E-07	7.05E-07	6.82E-07	6.91E-07	6.82E-07	6.78E-07	6.48E-07	6.32E-07	6.08E-07	6.21E-07	6.07E-07	5.80E-07	5.64E-07	5.65E-07	5.51E-07	5.26E-07	5.27E-07	5.21E-07	5.08E-07	4.97E-07	4.76E-07	4.76E-07	4.69E-07	4.47E-07	4.52E-07	4.37E-07	4.14E-07	4.31E-07	4.10E-07	4.04E-07	3.87E-07	3.85E-07	3.78E-07	3.52E-07	3.66E-07	3.58E-07	3.42E-07
2.14E-07	7.06E-07	7.25E-07	7.63E-07	7.55E-07	7.81E-07	7.84E-07	7.92E-07	7.82E-07	7.64E-07	7.62E-07	7.61E-07	7.66E-07	7.55E-07	7.45E-07	7.33E-07	7.20E-07	7.04E-07	6.85E-07	6.85E-07	6.79E-07	6.61E-07	6.55E-07	6.49E-07	6.23E-07	6.18E-07	6.11E-07	6.07E-07	5.74E-07	5.86E-07	5.77E-07	5.54E-07	5.45E-07	5.41E-07	5.26E-07	4.99E-07	5.14E-07	4.85E-07	4.77E-07	4.69E-07	4.68E-07	4.56E-07	4.42E-07	4.45E-07	4.27E-07	4.17E-07	4.04E-07	4.16E-07	3.93E-07	4.00E-07
2.24E-07	6.61E-07	6.84E-07	7.25E-07	7.36E-07	7.57E-07	7.55E-07	7.82E-07	7.74E-07	7.83E-07	7.70E-07	7.78E-07	7.64E-07	7.48E-07	7.75E-07	7.40E-07	7.27E-07	7.33E-07	7.16E-07	7.04E-07	6.82E-07	6.86E-07	6.67E-07	6.85E-07	6.72E-07	6.71E-07	6.42E-07	6.60E-07	6.26E-07	6.15E-07	6.04E-07	5.90E-07	5.85E-07	5.95E-07	5.50E-07	5.34E-07	5.45E-07	5.33E-07	5.31E-07	5.06E-07	4.89E-07	5.03E-07	4.76E-07	4.72E-07	4.78E-07	4.48E-07	4.57E-07	4.54E-07	4.51E-07	4.33E-07
2.34E-07	5.95E-07	6.62E-07	6.64E-07	6.87E-07	7.11E-07	7.49E-07	7.36E-07	7.35E-07	7.58E-07	7.72E-07	7.39E-07	7.65E-07	7.57E-07	7.39E-07	7.50E-07	7.59E-07	7.63E-07	7.34E-07	7.19E-07	7.36E-07	7.24E-07	7.07E-07	7.06E-07	6.84E-07	6.68E-07	6.75E-07	6.55E-07	6.50E-07	6.49E-07	6.38E-07	6.25E-07	6.15E-07	5.98E-07	5.92E-07	5.94E-07	5.93E-07	5.82E-07	5.74E-07	5.57E-07	5.52E-07	5.52E-07	5.27E-07	5.15E-07	5.04E-07	4.93E-07	4.84E-07	4.65E-07	4.61E-07	4.63E-07
2.45E-07	5.58E-07	5.96E-07	6.17E-07	6.21E-07	6.68E-07	6.92E-07	7.02E-07	7.01E-07	7.29E-07	7.58E-07	7.19E-07	7.40E-07	7.32E-07	7.29E-07	7.34E-07	7.38E-07	7.21E-07	7.34E-07	7.27E-07	7.13E-07	7.26E-07	7.30E-07	6.98E-07	7.02E-07	6.93E-07	6.82E-07	6.70E-07	6.68E-07	6.73E-07	6.73E-07	6.57E-07	6.36E-07	6.37E-07	6.32E-07	5.99E-07	6.04E-07	6.08E-07	5.83E-07	5.84E-07	5.76E-07	5.58E-07	5.54E-07	5.38E-07	5.37E-07	5.36E-07	5.24E-07	5.29E-07	5.05E-07	4.99E-07
2.57E-07	4.89E-07	5.10E-07	5.32E-07	5.64E-07	5.77E-07	6.20E-07	6.45E-07	6.47E-07	6.50E-07	6.89E-07	6.85E-07	6.65E-07	7.08E-07	6.89E-07	7.02E-07	6.87E-07	6.97E-07	6.91E-07	7.19E-07	6.89E-07	6.96E-07	6.94E-07	6.97E-07	6.58E-07	7.06E-07	6.75E-07	6.64E-07	6.65E-07	6.73E-07	6.57E-07	6.38E-07	6.47E-07	6.32E-07	6.23E-07	6.30E-07	6.17E-07	6.04E-07	5.90E-07	5.98E-07	5.86E-07	5.62E-07	5.60E-07	5.58E-07	5.41E-07	5.37E-07	5.22E-07	5.44E-07	5.39E-07	5.31E-07
2.69E-07	4.20E-07	4.35E-07	4.80E-07	4.67E-07	5.49E-07	5.36E-07	5.66E-07	5.94E-07	6.19E-07	6.18E-07	6.26E-07	6.18E-07	6.30E-07	6.54E-07	6.35E-07	6.56E-07	6.72E-07	6.63E-07	6.78E-07	6.56E-07	6.64E-07	6.80E-07	6.67E-07	6.86E-07	6.78E-07	6.66E-07	6.59E-07	6.59E-07	6.61E-07	6.24E-07	6.30E-07	6.17E-07	6.16E-07	6.58E-07	6.41E-07	6.21E-07	6.29E-07	5.92E-07	6.10E-07	6.06E-07	5.70E-07	5.64E-07	5.58E-07	5.52E-07	5.45E-07	5.46E-07	5.51E-07	5.61E-07	5.10E-07
2.82E-07	3.39E-07	3.54E-07	3.91E-07	4.04E-07	4.35E-07	4.51E-07	4.88E-07	5.25E-07	5.29E-07	5.23E-07	5.52E-07	5.76E-07	5.87E-07	5.65E-07	5.72E-07	5.75E-07	5.90E-07	5.82E-07	6.05E-07	6.13E-07	6.11E-07	6.25E-07	6.19E-07	5.95E-07	6.29E-07	6.31E-07	6.02E-07	5.93E-07	6.39E-07	6.12E-07	6.06E-07	6.01E-07	5.79E-07	6.04E-07	6.04E-07	5.92E-07	6.20E-07	5.74E-07	5.81E-07	5.61E-07	5.42E-07	5.52E-07	5.51E-07	5.52E-07	5.37E-07	5.44E-07	5.28E-07	5.42E-07	5.21E-07
2.95E-07	2.75E-07	3.04E-07	3.36E-07	3.46E-07	3.64E-07	3.82E-07	4.19E-07	4.12E-07	4.46E-07	4.54E-07	4.61E-07	4.81E-07	5.07E-07	4.72E-07	5.02E-07	5.10E-07	5.11E-07	5.21E-07	5.52E-07	5.64E-07	5.22E-07	5.54E-07	5.55E-07	5.65E-07	5.59E-07	5.62E-07	5.39E-07	5.39E-07	5.76E-07	5.63E-07	5.71E-07	5.68E-07	5.47E-07	5.68E-07	5.79E-07	5.62E-07	5.84E-07	5.32E-07	5.63E-07	5.35E-07	5.22E-07	5.26E-07	5.39E-07	5.32E-07	5.03E-07	5.21E-07	5.21E-07	5.12E-07	4.95E-07
3.09E-07	2.25E-07	2.55E-07	2.58E-07	2.75E-07	2.93E-07	3.02E-07	3.24E-07	3.40E-07	3.61E-07	3.74E-07	3.90E-07	4.00E-07	4.38E-07	4.07E-07	4.24E-07	4.23E-07	4.28E-07	4.47E-07	4.63E-07	4.81E-07	4.55E-07	4.85E-07	5.02E-07	4.70E-07	5.03E-07	5.07E-07	5.07E-07	5.02E-07	4.82E-07	5.19E-07	5.09E-07	5.21E-07	5.27E-07	5.06E-07	5.13E-07	5.14E-07	5.19E-07	4.99E-07	4.99E-07	5.13E-07	4.78E-07	5.12E-07	4.87E-07	4.85E-07	4.70E-07	4.50E-07	4.81E-07	4.95E-07	4.66E-07
3.24E-07	1.63E-07	2.01E-07	2.22E-07	2.24E-07	2.58E-07	2.65E-07	2.72E-07	2.64E-07	2.98E-07	3.12E-07	3.10E-07	3.46E-07	3.23E-07	3.42E-07	3.64E-07	3.50E-07	3.81E-07	4.03E-07	3.89E-07	4.14E-07	4.26E-07	4.26E-07	4.02E-07	4.24E-07	4.50E-07	4.48E-07	4.09E-07	4.15E-07	4.27E-07	4.48E-07	4.46E-07	4.50E-07	4.57E-07	4.44E-07	4.74E-07	4.43E-07	4.77E-07	4.40E-07	4.69E-07	4.46E-07	4.62E-07	4.22E-07	4.24E-07	4.36E-07	4.10E-07	4.45E-07	4.34E-07	4.36E-07	4.44E-07
3.39E-07	1.50E-07	1.57E-07	1.72E-07	1.85E-07	1.94E-07	2.10E-07	2.26E-07	2.23E-07	2.41E-07	2.58E-07	2.59E-07	2.65E-07	2.74E-07	2.58E-07	2.92E-07	2.85E-07	3.02E-07	3.06E-07	3.36E-07	3.48E-07	3.71E-07	3.55E-07	3.51E-07	3.58E-07	3.83E-07	3.67E-07	3.45E-07	3.60E-07	3.82E-07	3.83E-07	3.78E-07	3.87E-07	3.81E-07	3.90E-07	4.14E-07	3.99E-07	3.98E-07	4.19E-07	4.00E-07	4.07E-07	4.11E-07	3.77E-07	3.85E-07	4.04E-07	3.77E-07	4.12E-07	3.97E-07	3.87E-07	3.76E-07
3.55E-07	1.13E-07	1.27E-07	1.33E-07	1.65E-07	1.69E-07	1.65E-07	1.71E-07	1.76E-07	1.84E-07	1.98E-07	1.96E-07	1.87E-07	2.27E-07	2.15E-07	2.16E-07	2.28E-07	2.47E-07	2.69E-07	2.78E-07	2.93E-07	2.83E-07	2.93E-07	3.01E-07	3.21E-07	3.04E-07	3.06E-07	2.76E-07	2.88E-07	2.94E-07	3.12E-07	3.30E-07	3.30E-07	3.29E-07	3.41E-07	3.36E-07	3.35E-07	3.27E-07	3.62E-07	3.58E-07	3.54E-07	3.64E-07	3.19E-07	3.36E-07	3.42E-07	3.56E-07	3.60E-07	3.55E-07	3.42E-07	3.37E-07
3.72E-07	1.09E-07	9.30E-08	1.11E-07	1.14E-07	1.27E-07	1.23E-07	1.45E-07	1.49E-07	1.49E-07	1.37E-07	1.72E-07	1.75E-07	1.82E-07	1.36E-07	1.72E-07	1.89E-07	1.81E-07	2.21E-07	2.10E-07	2.22E-07	2.24E-07	2.32E-07	2.18E-07	2.53E-07	2.51E-07	2.53E-07	2.13E-07	2.48E-07	2.48E-07	2.63E-07	2.91E-07	2.59E-07	2.67E-07	2.89E-07	2.96E-07	2.75E-07	2.80E-07	3.18E-07	2.99E-07	3.05E-07	3.15E-07	2.54E-07	3.03E-07	2.76E-07	3.34E-07	2.73E-07	2.90E-07	3.11E-07	2.92E-07
3.89E-07	9.48E-08	7.61E-08	9.83E-08	1.07E-07	1.14E-07	1.23E-07	1.08E-07	1.29E-07	1.30E-07	1.39E-07	1.49E-07	1.27E-07	1.36E-07	1.44E-07	1.24E-07	1.46E-07	1.66E-07	1.66E-07	1.75E-07	1.86E-07	1.76E-07	2.00E-07	1.94E-07	2.01E-07	2.00E-07	2.02E-07	1.81E-07	1.70E-07	2.01E-07	2.35E-07	2.27E-07	2.04E-07	2.24E-07	2.45E-07	2.41E-07	2.57E-07	2.31E-07	2.13E-07	2.49E-07	2.33E-07	2.20E-07	2.32E-07	2.40E-07	2.60E-07	2.51E-07	2.44E-07	2.66E-07	2.64E-07	2.54E-07
4.07E-07	6.28E-08	7.47E-08	7.95E-08	9.99E-08	8.93E-08	1.06E-07	9.02E-08	9.33E-08	1.04E-07	1.07E-07	1.21E-07	1.00E-07	1.30E-07	1.36E-07	1.06E-07	1.25E-07	1.30E-07	1.45E-07	1.37E-07	1.54E-07	1.36E-07	1.70E-07	1.69E-07	1.60E-07	1.67E-07	1.69E-07	1.50E-07	1.45E-07	1.75E-07	1.74E-07	1.85E-07	1.66E-07	1.98E-07	1.89E-07	2.05E-07	2.15E-07	1.97E-07	2.13E-07	2.24E-07	1.97E-07	1.77E-07	2.08E-07	1.98E-07	2.16E-07	1.98E-07	2.07E-07	2.05E-07	2.03E-07	2.02E-07
4.27E-07	5.68E-08	6.97E-08	7.82E-08	7.58E-08	8.66E-08	9.29E-08	8.08E-08	9.37E-08	8.54E-08	7.40E-08	8.07E-08	9.54E-08	1.12E-07	1.05E-07	9.35E-08	9.54E-08	1.05E-07	1.08E-07	1.35E-07	1.08E-07	1.18E-07	1.22E-07	1.31E-07	1.26E-07	1.26E-07	1.43E-07	1.13E-07	1.23E-07	1.45E-07	1.24E-07	1.17E-07	1.42E-07	1.70E-07	1.40E-07	1.48E-07	1.56E-07	1.69E-07	1.80E-07	1.59E-07	1.87E-07	1.38E-07	1.62E-07	1.41E-07	1.77E-07	1.72E-07	1.74E-07	1.54E-07	1.60E-07	1.59E-07
4.47E-07	6.44E-08	5.70E-08	5.17E-08	7.72E-08	7.07E-08	7.57E-08	6.64E-08	9.13E-08	7.59E-08	9.15E-08	7.46E-08	6.33E-08	6.30E-08	5.55E-08	1.06E-07	7.10E-08	9.16E-08	1.15E-07	8.58E-08	8.70E-08	9.71E-08	1.01E-07	9.28E-08	1.10E-07	1.14E-07	9.69E-08	1.04E-07	1.01E-07	9.47E-08	1.11E-07	1.07E-07	1.27E-07	1.22E-07	1.39E-07	1.28E-07	1.20E-07	1.25E-07	1.05E-07	1.52E-07	1.35E-07	1.11E-07	1.27E-07	1.14E-07	1.23E-07	1.24E-07	1.57E-07	1.51E-07	1.30E-07	1.54E-07
4.68E-07	6.24E-08	6.25E-08	6.27E-08	5.68E-08	8.29E-08	6.00E-08	6.73E-08	5.69E-08	8.61E-08	5.85E-08	7.09E-08	4.76E-08	6.46E-08	5.46E-08	7.90E-08	7.44E-08	7.50E-08	9.50E-08	8.50E-08	7.51E-08	7.48E-08	1.01E-07	1.04E-07	7.81E-08	7.82E-08	8.56E-08	6.16E-08	7.71E-08	7.24E-08	8.06E-08	9.93E-08	1.01E-07	1.06E-07	1.02E-07	1.01E-07	1.04E-07	9.78E-08	9.72E-08	1.22E-07	1.16E-07	8.05E-08	1.02E-07	9.50E-08	1.20E-07	1.01E-07	1.23E-07	1.15E-07	1.19E-07	1.27E-07
4.90E-07	8.38E-08	5.76E-08	7.06E-08	7.05E-08	7.06E-08	7.89E-08	7.51E-08	5.34E-08	6.84E-08	6.55E-08	6.47E-08	3.92E-08	5.10E-08	6.54E-08	7.31E-08	6.41E-08	7.72E-08	7.64E-08	7.75E-08	7.67E-08	7.63E-08	8.62E-08	7.67E-08	7.52E-08	5.55E-08	6.84E-08	4.97E-08	6.37E-08	7.14E-08	5.66E-08	9.55E-08	1.09E-07	8.62E-08	9.84E-08	1.04E-07	9.57E-08	9.46E-08	7.35E-08	9.74E-08	1.15E-07	7.06E-08	8.05E-08	9.02E-08	7.62E-08	9.31E-08	1.03E-07	1.06E-07	9.57E-08	8.56E-08
5.13E-07	5.54E-08	7.91E-08	6.73E-08	7.11E-08	8.26E-08	6.04E-08	6.48E-08	8.15E-08	5.34E-08	7.50E-08	4.45E-08	4.16E-08	2.71E-08	8.18E-08	5.73E-08	6.63E-08	6.78E-08	8.41E-08	6.98E-08	5.99E-08	6.62E-08	7.06E-08	5.39E-08	8.02E-08	6.01E-08	5.07E-08	7.63E-08	7.17E-08	9.26E-08	8.48E-08	9.40E-08	8.33E-08	7.35E-08	8.77E-08	7.83E-08	9.51E-08	5.36E-08	7.24E-08	5.94E-08	6.42E-08	7.44E-08	7.97E-08	5.80E-08	7.22E-08	8.91E-08	8.66E-08	7.23E-08	4.99E-08	8.31E-08
5.37E-07	7.90E-08	5.41E-08	6.22E-08	5.95E-08	6.37E-08	5.29E-08	5.57E-08	4.76E-08	6.38E-08	3.92E-08	4.60E-08	3.16E-08	3.79E-08	4.87E-08	6.26E-08	6.28E-08	7.13E-08	6.81E-08	6.01E-08	4.88E-08	7.44E-08	6.70E-08	5.89E-08	5.58E-08	5.56E-08	6.58E-08	5.78E-08	7.77E-08	4.33E-08	7.80E-08	5.71E-08	7.15E-08	6.92E-08	6.48E-08	6.73E-08	5.91E-08	6.82E-08	6.08E-08	4.94E-08	6.28E-08	4.57E-08	7.18E-08	8.56E-08	4.44E-08	6.57E-08	6.81E-08	9.26E-08	7.66E-08	5.90E-08
5.62E-07	7.71E-08	6.25E-08	4.08E-08	4.83E-08	5.67E-08	6.42E-08	5.40E-08	6.12E-08	3.76E-08	5.41E-08	4.80E-08	3.96E-08	3.33E-08	4.86E-08	6.71E-08	5.29E-08	6.34E-08	6.08E-08	6.23E-08	7.25E-08	4.45E-08	6.55E-08	5.81E-08	7.68E-08	5.68E-08	5.62E-08	5.81E-08	6.13E-08	4.68E-08	6.31E-08	6.20E-08	7.77E-08	4.50E-08	5.35E-08	6.74E-08	5.82E-08	5.99E-08	5.79E-08	5.45E-08	4.10E-08	4.70E-08	6.47E-08	5.85E-08	3.73E-08	7.72E-08	6.77E-08	5.42E-08	8.51E-08	8.44E-08
5.89E-07	6.43E-08	7.61E-08	4.21E-08	5.32E-08	5.02E-08	5.91E-08	7.20E-08	7.10E-08	5.49E-08	5.71E-08	4.45E-08	3.09E-08	3.46E-08	5.48E-08	6.87E-08	6.71E-08	4.79E-08	8.13E-08	6.54E-08	6.11E-08	5.42E-08	7.54E-08	2.64E-08	4.60E-08	5.05E-08	3.41E-08	6.44E-08	4.48E-08	6.22E-08	5.66E-08	6.34E-08	4.32E-08	4.08E-08	5.94E-08	3.68E-08	5.84E-08	4.94E-08	5.19E-08	3.80E-08	2.36E-08	3.70E-08	5.63E-08	3.31E-08	6.22E-08	6.57E-08	5.34E-08	7.18E-08	5.90E-08	4.46E-08
